model,IFEval,BBH,MATH,GPQA,MUSR,MMLU_PRO
tiiuae/Falcon3-1B-Base,0.24280132271262472,0.3571153918015637,0.033232628,0.27936241610738255,0.41473958333333333,0.16082114361702127
tiiuae/Falcon3-1B-Instruct,0.5556678501930433,0.3744535691366672,0.063444109,0.26677852348993286,0.4188958333333333,0.18384308510638298
tiiuae/Falcon3-3B-Base,0.2764985793250797,0.4421367825874385,0.11782477341389729,0.29697986577181207,0.3749895833333334,0.2878989361702128
tiiuae/Falcon3-3B-Instruct,0.6976755010040027,0.4754430332167569,0.25,0.28859060402684567,0.41359375,0.300531915
tiiuae/Falcon3-7B-Base,0.34159474638403875,0.5098880466426711,0.19410876132930513,0.3464765100671141,0.47020833333333334,0.3910405585106383
tiiuae/Falcon3-7B-Instruct,0.7612479332615238,0.563244279,0.4086102719033233,0.3104026845637584,0.48267708333333337,0.4087433510638298
tiiuae/Falcon3-Mamba-7B-Base,0.28911288713945665,0.4699280188827039,0.19410876132930513,0.30956375838926176,0.3431458333333333,0.30377327127659576
tiiuae/Falcon3-Mamba-7B-Instruct,0.7165099713205406,0.4678957688410694,0.30060422960725075,0.3036912751677852,0.38686458333333335,0.3369348404255319
tiiuae/falcon-11B,0.3261324397044287,0.43916370355493844,0.027945619335347432,0.2709731543624161,0.39864583333333337,0.23894614361702127
tiiuae/falcon-40b,0.24964538535530173,0.4018532495595801,0.018126888,0.27348993288590606,0.36314583333333333,0.25049867021276595
tiiuae/falcon-40b-instruct,0.24544874266945038,0.40538675151591974,0.019637462235649546,0.25,0.37622916666666667,0.2261469414893617
tiiuae/falcon-7b,0.182051401,0.32852446117322215,0.009818731,0.24496644295302014,0.37784375,0.11253324468085106
tiiuae/falcon-7b-instruct,0.19688869976107837,0.32034221512355765,0.012084592145015106,0.24748322147651006,0.3633645833333334,0.1155252659574468
tiiuae/falcon-mamba-7b,0.3335760227307987,0.4284854988604366,0.044561934,0.3104026845637584,0.42103124999999997,0.23021941489361702
tinycompany/BiBo-v0.3,0.5183989592060179,0.4641611514377814,0.087613293,0.2676174496644295,0.3949895833333333,0.29945146276595747
tinycompany/BiBo-v0.7,0.3738181358794665,0.43108167584271034,0.082326284,0.27684563758389263,0.40441666666666665,0.2650432180851064
tinycompany/ShawtyIsBad-bgem3,0.2608113139802391,0.38529707856388956,0.048338369,0.3053691275167785,0.36946875,0.25831117021276595
tinycompany/ShawtyIsBad-e5-large,0.24682287441765627,0.3873483842947396,0.045317220543806644,0.30201342281879195,0.37204166666666666,0.25689827127659576
